objectid,filename,title,description,creator,date,subject,format,source,location,latitude,longitude,identifier,type,language,rights,rightsstatement,display_template,image_small,image_thumb
gunncoll0001,kindred-butler.jpg,Kindred,"Dana’s torment begins when she suddenly vanishes on her 26th birthday from California, 1976, and is dragged through time to antebellum Maryland to rescue a boy named Rufus, heir to a slaveowner’s plantation. She soon realizes the purpose of her summons to the past: protect Rufus to ensure his assault of her Black ancestor so that she may one day be born. As she endures the traumas of slavery and the soul-crushing normalization of savagery, Dana fights to keep her autonomy and return to the present.","Butler, Octavia",1979,Southern California; Time travel; 1976; East Coast plantation; 19th Century; Racial Oppression; Slavery; Gender Oppression; African American Women's Experiences; Octavia Butler,image/jpeg,,,,,,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,objects/kindred-butler.jpg,objects/kindred-butler.jpg
gunncoll0002,analog05-1970.jpeg,Analog: Science Fiction Science Fact May 1970,"Analog Science Fiction and Fact is an American science fiction magazine published under various titles since 1930. Originally titled Astounding Stories of Super-Science, the first issue was dated January 1930, published by William Clayton, and edited by Harry Bates.","Campbell, John W",1970-05,Rat Race; But Mainly By Cunning; Resident Witch; Caveat Emptor; Heavy Duty,image/jpeg,,,,,,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,,
gunncoll0003,analog05-1970.jpeg,Rat Race,,"Campbell, John W. ",1970-05,Rat Race; ,image/jpeg,,,,,,text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,,
gunncoll0004,analog05-1970.jpeg,But Mainly By Cunning,,"Dalmas, John ",1970-05,But Mainly By Cunning; Viking; Neoviking; telepathy; mind reading; mind sharing; barbarians; orcs; castles ,image/jpeg,,,,,,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,,
gunncoll0005,analog05-1970.jpeg,Resident Witch,"Kyth Interstellar, a detective agency, had a problem that not even their highly skilled operatives could handle -- without Telzey, their Resident Witch!","Schmitz, James H.",1970-05,"Resident Witch; telepath; mind reader; undercover; crime; espionage; gadgets; murder, investigation; mind control; telepath; sibling rivalry; illegal magic; young vs. old; revenge; magic vs. technology",image/jpeg,,,,,,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,,
gunncoll0006,analog05-1970.jpeg,Caveat Emptor,"Equine Andvarian aliens pilot a trading vessel across the Commonwealth. Soon after first contact, a young human woman named Danae learns their language and customs on board their vessel. Danae sets up a trade meeting with the business conglomerate Galiol, a member of the Federation, whom she represents","Killough, Lee ",1970-05,Caveat Emptor; space travel; space exploration; equine aliens; equine; free trade; business; capitalism; merchants; business exploitation; trade markets in space; human and alien interaction; space trading,image/jpeg,,,,,,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,,
gunncoll0007,analog05-1970.jpeg,Heavy Duty,,"Dempsey, Hank ",1970-05,Heavy Duty; space travel; technological future; metallic gear; protective gear; space portal;  literacy; enslavement; interplanetary human settlers; marriage vs. career; intergalatic colonialism; notions of civility;  modernity vs. primitive; culture shock; gatekeeping of knowledge,image/jpeg,,,,,,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,,
gunncoll0008,analog05-1970.jpeg,The Siren Stars,,"Carrigan, Richard and Nancy Carrigan",1970-05,The Siren Stars; ,image/jpeg,,,,,,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,,
gunncoll0009,analog05-1970.jpeg,MR Robot,,"Sutro, Louis L. and William L. Kilmer",1970-05,MR Robot; computers; machines; Mars Rover robot; artificial intelligence; construction; MIT,image/jpeg,,,,,,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,,
gunncoll0010,DianeAckermanLetter.pdf,Letter to James Gunn From Diane Ackerman,Letter to James Gunn from poet Diane Ackerman,"Ackerman, Diane",1979-04-09,letter,application/pdf,,,,,,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,,,
